"YSKƒ, KORVAKIPU; NUHA",KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,TEKSTI,KYSYMYSTEKSTI,TYYPPI,VAIHTOEHDOT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3-5 kertaa,"1-2 viikon ajan ollut p‰ivitt‰ist‰ oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,yli 5 kertaa,"1-2 viikon ajan ollut p‰ivitt‰ist‰ oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,Oksentelu on ajoittaista.,,Onko oksentelu pahentunut?,valinta,Kyll‰,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"1-2 viikon ajan ollut ajoittaista, pahenevaa oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3-5 kertaa,"1-2 viikon ajan ollut ajoittaista, pahenevaa oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,yli 5 kertaa,"1-2 viikon ajan ollut ajoittaista, pahenevaa oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"1-2 viikon ajan ollut ajoittaista oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3-5 kertaa,"1-2 viikon ajan ollut ajoittaista oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,yli 5 kertaa,"1-2 viikon ajan ollut ajoittaista oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut oksentelua 2 viikon - 1kk ajan.,,Valitse seuraavista sopivin vaihtoehto.,valinta,Oksentelu on p‰ivitt‰ist‰.,,Onko oksentelu pahentunut?,valinta,Kyll‰,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"2 viikon - 1 kk ajan ollut p‰ivitt‰ist‰, pahenevaa oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3-5 kertaa,"2 viikon - 1 kk ajan ollut p‰ivitt‰ist‰, pahenevaa oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,yli 5 kertaa,"2 viikon - 1 kk ajan ollut p‰ivitt‰ist‰, pahenevaa oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"2 viikon - 1 kk ajan ollut p‰ivitt‰ist‰ oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3-5 kertaa,"2 viikon - 1 kk ajan ollut p‰ivitt‰ist‰ oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,yli 5 kertaa,"2 viikon - 1 kk ajan ollut p‰ivitt‰ist‰ oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,Oksentelu on ajoittaista.,,Onko oksentelu pahentunut?,valinta,Kyll‰,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"2 viikon - 1 kk ajan ollut ajoittaista, pahenevaa oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3-5 kertaa,"2 viikon - 1 kk ajan ollut ajoittaista, pahenevaa oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,yli 5 kertaa,"2 viikon - 1 kk ajan ollut ajoittaista, pahenevaa oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"2 viikon - 1 kk ajan ollut ajoittaista oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3-5 kertaa,"2 viikon - 1 kk ajan ollut ajoittaista oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,yli 5 kertaa,"2 viikon - 1 kk ajan ollut ajoittaista oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,Minulla on ollut oksentelua yli kuukauden ajan.,,Valitse seuraavista sopivin vaihtoehto.,valinta,Oksentelu on p‰ivitt‰ist‰.,,Onko oksentelu pahentunut?,valinta,Kyll‰,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"Yli 1 kk ajan ollut p‰ivitt‰ist‰, pahenevaa oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3-5 kertaa,"Yli 1 kk ajan ollut p‰ivitt‰ist‰, pahenevaa oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,yli 5 kertaa,"Yli 1 kk ajan ollut p‰ivitt‰ist‰, pahenevaa oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"Yli 1 kk ajan ollut p‰ivitt‰ist‰ oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3-5 kertaa,"Yli 1 kk ajan ollut p‰ivitt‰ist‰ oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,yli 5 kertaa,"Yli 1 kk ajan ollut p‰ivitt‰ist‰ oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,Oksentelu on ajoittaista.,,Onko oksentelu pahentunut?,valinta,Kyll‰,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"Yli 1 kk ajan ollut ajoittaista, pahenevaa oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3-5 kertaa,"Yli 1 kk ajan ollut ajoittaista, pahenevaa oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,yli 5 kertaa,"Yli 1 kk ajan ollut ajoittaista, pahenevaa oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ei,,Kuinka monta kertaa viimeisen vuorokauden sis‰ll‰ olet oksentanut?,valinta,1-2 kertaa,"Yli 1 kk ajan ollut ajoittaista oksentelua, viimeisen vrk aikana oksentanut 1-2 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3-5 kertaa,"Yli 1 kk ajan ollut ajoittaista oksentelua, viimeisen vrk aikana oksentanut 3-5 kertaa.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,yli 5 kertaa,"Yli 1 kk ajan ollut ajoittaista oksentelua, viimeisen vrk aikana oksentanut yli 5 kertaa.",,,,,,,,,,,,,,,,,
,,,Ei,Ei oksentelua.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Onko sinulla nyt kuumetta yli 37,5 astetta?",valinta ,Kyll‰,,Siirtyy kuumepuustoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ei,L‰mpˆ ollut alle 37.5 astetta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
